# -------------------------------------------------
# 
# Thou invoked Nightfall, and it answered thy plea.
# 
#   Thy Name is Pierre Maxted, 
#     and thy time is Wed Sep 21 16:46:17 2016
# 
# -------------------------------------------------
# 
# System Parameters (elliptic orbit):
# 
#   <Eccentricity>     0.150  (dimensionless)
#   <Omega>          120.000  (degree)
#   <Inclination>     80.000  (degree)
#   <Mass Ratio>       2.000  (dimensionless)
#   <Lagrange One>     0.429  (dimensionless)
# 
# -------------------------------------------------
# 
# Model used:
# 
#   <Flux>                  Blackbody
#   <Fractional visibility> On
#   <Limb darkening>        square root
#   <Detailed reflection>   0
# 
# -------------------------------------------------
# 
# System Size (absolute units):
# 
#   <Period>        2.223e+07  (seconds)
#   <Total Mass>    3.978e+30  (kilogramm)
#   <Distance>      1.492e+11  (meter)
#   <Lagrange One>  5.444e+10  (meter)
# 
#   <Period>         257.248  (days)
#   <Total Mass>       2.000  (solar mass)
#   <Distance>       214.372  (solar radius)
#   <Lagrange One>    78.216  (solar radius)
# 
# -------------------------------------------------
# 
# Component Parameters:
#                    Primary  Secondary
#   <Max Velocity>    28.009     14.004   (km/sec)
# 
#   <Mass>             0.333      0.667   (dimensionless)
#   <Gravity>         28.808   17457.877   (dimensionless)
#   <Polar Radius>     0.166      0.007   (dimensionless)
#   <Point Radius>  0.171532   0.006876   (dimensionless)
#   <Mean Radius>   0.166822   0.007043   (dimensionless)
#   <Volume>        0.019922   0.000001   (dimensionless)
# 
#   <Mass>          1.33e+30   2.65e+30   (kilogramm)
#   <Gravity>          0.114     69.386   (m kg/s^2)
#   <Polar Radius>  2.48e+10   1.03e+09   (meter)
#   <Point Radius>  2.56e+10   1.03e+09   (meter)
#   <Mean Radius>   2.49e+10   1.05e+09   (meter)
#   <Volume>        6.62e+31   4.86e+27   (cubic meter)
# 
#   <Mass>             0.667      1.333   (solar mass)
#   <Polar Radius>    35.602      1.474   (solar radius)
#   <Point Radius>    36.772      1.474   (solar radius)
#   <Mean Radius>     35.762      1.510   (solar radius)
#   <Volume>        196266.087     14.414   (solar volumes)
# 
#   <Mean Temp.>     20000.0     3143.2   (Kelvin)
# 
# -------------------------------------------------
# 
#                    Primary  Secondary
#   <Fill Factor>      0.650      0.020   (dimensionless)
#   <Temperature>    20000.0     2000.0   (Kelvin)
#   <Asynchronicity>   1.000      1.000   (dimensionless)
#   <Albedo>           1.000      0.500   (dimensionless)
#   <Grav. Dark.>      0.250      0.055   (dimensionless)
# 
# -------------------------------------------------
# 
#   <Surface Potential Primary>        7.4376   (dimensionless)
#   <Lagrange 1 Potential>             5.2517   (dimensionless)
#   <Lagrange 2 Potential>             4.6545   (dimensionless)
#   <Surface Potential Secondary>    132.6283   (dimensionless)
#   <... in Primary frame>           264.7566   (dimensionless)
#   <Secondary eclipse begin>      --no eclipse--
#   <Secondary totality begin>     --no totality--
#   <Primary eclipse begin>        383541.8886   (minutes +/- 185.22)
#   <Primary eclipse end>          392802.8315   (minutes +/- 185.22)
#   <Primary totality begin>       --no totality--
# 
# -------------------------------------------------
# 
# <Luminosities>:
#   Band   0:     1.11261e+16      2.9362e+09
#   Band   1:     6.53464e+15     5.47377e+09
#   Band   2:     3.26964e+15     7.81269e+09
#   Band   3:     2.21767e+15      9.4264e+09
#   Band   4:       9.921e+14     9.76215e+09
#   Band   5:     1.96132e+14     6.61895e+09
#   Band   6:     7.47083e+13     3.91668e+09
#   Band   7:     2.33177e+13     1.87599e+09
#   Band   8:     1.15003e+16     2.06441e+09
#   Band   9:     7.34898e+15     4.10376e+09
#   Band  10:     5.07946e+15     5.08681e+09
#   Band  11:     3.15066e+15     7.37099e+09
# 
# -------------------------------------------------
# 
# Spots  (if any)
# 
# 
# -------------------------------------------------
# 
# Fit Results  (if any)
# 
# 
# -------------------------------------------------
# 
# <Normalization> at <Phase> was:
#   Band   0:     1.11287e+16        0.737375
#   Band   1:       6.536e+15        0.737375
#   Band   2:     3.27024e+15        0.737375
#   Band   3:     2.21806e+15        0.737375
#   Band   4:     9.92262e+14        0.737375
#   Band   5:     1.96164e+14        0.737375
#   Band   6:     7.47215e+13        0.737375
#   Band   7:     2.33223e+13        0.737375
#   Band   8:      1.1503e+16        0.737375
#   Band   9:     7.35055e+15        0.737375
#   Band  10:     5.08047e+15        0.737375
#   Band  11:     3.15123e+15        0.737375
# 
# -------------------------------------------------
# 
# SEQ  PHASE  U       B       V       R       I       J       H       K       u       v       b       y     RV(Primary) RV(Secondary) 
# 
     0 -0.2626 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000      -30.12       15.23
   220 -0.0426  0.023397  0.022386  0.020965  0.020207  0.019219  0.018043  0.017549  0.017178  0.023548  0.022770  0.021948  0.020965      -8.056       4.047
   221 -0.0416  0.023419  0.022406  0.020986  0.020228  0.019241  0.018065  0.017572  0.017201  0.023570  0.022790  0.021968  0.020986      -7.916       3.976
   222 -0.0406  0.023435  0.022422  0.021001  0.020243  0.019255  0.018079  0.017586  0.017215  0.023587  0.022806  0.021983  0.021001      -7.775       3.905
   223 -0.0396  0.023443  0.022429  0.021007  0.020248  0.019260  0.018082  0.017589  0.017217  0.023595  0.022813  0.021991  0.021007      -7.634       3.834
   224 -0.0386  0.023443  0.022429  0.021006  0.020245  0.019255  0.018075  0.017580  0.017208  0.023595  0.022814  0.021990  0.021005      -7.494       3.764
   225 -0.0376  0.023444  0.022430  0.021004  0.020242  0.019250  0.018069  0.017573  0.017200  0.023595  0.022815  0.021990  0.021004      -7.353       3.693
   226 -0.0366  0.023446  0.022432  0.021005  0.020242  0.019249  0.018066  0.017569  0.017196  0.023598  0.022818  0.021992  0.021005      -7.212       3.622
   227 -0.0356  0.023453  0.022438  0.021011  0.020247  0.019254  0.018070  0.017573  0.017199  0.023605  0.022825  0.021998  0.021011      -7.072       3.551
   228 -0.0346  0.023461  0.022446  0.021017  0.020254  0.019260  0.018076  0.017579  0.017205  0.023612  0.022832  0.022005  0.021017      -6.931       3.481
   229 -0.0336  0.023470  0.022454  0.021026  0.020262  0.019268  0.018084  0.017587  0.017213  0.023621  0.022840  0.022014  0.021025      -6.791        3.41
   230 -0.0326  0.023482  0.022465  0.021037  0.020273  0.019280  0.018096  0.017599  0.017225  0.023633  0.022851  0.022025  0.021036       -6.65       3.339
   231 -0.0316  0.023493  0.022475  0.021047  0.020284  0.019291  0.018108  0.017611  0.017237  0.023644  0.022861  0.022035  0.021047      -6.509       3.268
   232 -0.0306  0.023504  0.022486  0.021059  0.020296  0.019304  0.018121  0.017625  0.017251  0.023656  0.022872  0.022046  0.021058      -6.369       3.198
   233 -0.0296  0.023516  0.022498  0.021071  0.020309  0.019317  0.018136  0.017640  0.017267  0.023668  0.022883  0.022057  0.021070      -6.229       3.127
   234 -0.0286  0.023525  0.022506  0.021080  0.020318  0.019327  0.018146  0.017651  0.017278  0.023677  0.022891  0.022065  0.021079      -6.088       3.057
   235 -0.0276  0.023532  0.022513  0.021087  0.020326  0.019335  0.018155  0.017659  0.017287  0.023684  0.022898  0.022072  0.021086      -5.948       2.986
   236 -0.0266  0.023536  0.022516  0.021090  0.020330  0.019339  0.018159  0.017664  0.017291  0.023688  0.022901  0.022075  0.021090      -5.808       2.915
   237 -0.0256  0.023534  0.022514  0.021088  0.020327  0.019336  0.018155  0.017660  0.017288  0.023686  0.022899  0.022073  0.021087      -5.668       2.845
   238 -0.0246  0.023523  0.022503  0.021076  0.020314  0.019322  0.018139  0.017643  0.017270  0.023675  0.022889  0.022062  0.021075      -5.527       2.774
   239 -0.0236  0.023512  0.022492  0.021064  0.020301  0.019308  0.018124  0.017627  0.017253  0.023663  0.022878  0.022051  0.021063      -5.387       2.704
   240 -0.0226  0.023503  0.022484  0.021055  0.020291  0.019298  0.018113  0.017616  0.017242  0.023654  0.022870  0.022043  0.021054      -5.247       2.633
   241 -0.0216  0.023495  0.022476  0.021046  0.020282  0.019288  0.018103  0.017605  0.017230  0.023646  0.022862  0.022035  0.021046      -5.107       2.563
   242 -0.0206  0.023489  0.022470  0.021040  0.020277  0.019282  0.018097  0.017599  0.017224  0.023640  0.022857  0.022029  0.021040      -4.967       2.493
   243 -0.0196  0.023483  0.022465  0.021035  0.020271  0.019276  0.018091  0.017593  0.017219  0.023634  0.022851  0.022023  0.021034      -4.828       2.422
   244 -0.0186  0.023478  0.022460  0.021030  0.020266  0.019272  0.018087  0.017589  0.017215  0.023629  0.022846  0.022019  0.021030      -4.688       2.352
   245 -0.0176  0.023474  0.022456  0.021026  0.020263  0.019269  0.018084  0.017587  0.017212  0.023625  0.022842  0.022014  0.021026      -4.548       2.282
   246 -0.0166  0.023470  0.022452  0.021023  0.020260  0.019267  0.018083  0.017586  0.017211  0.023621  0.022838  0.022011  0.021023      -4.408       2.211
   247 -0.0156  0.023465  0.022447  0.021019  0.020256  0.019263  0.018080  0.017583  0.017209  0.023616  0.022832  0.022006  0.021018      -4.269       2.141
   248 -0.0146  0.023460  0.022442  0.021015  0.020253  0.019261  0.018079  0.017582  0.017208  0.023611  0.022828  0.022002  0.021015      -4.129       2.071
   249 -0.0136  0.023455  0.022437  0.021011  0.020250  0.019258  0.018076  0.017581  0.017207  0.023606  0.022822  0.021997  0.021010       -3.99       2.001
   250 -0.0126  0.023450  0.022432  0.021007  0.020246  0.019255  0.018075  0.017579  0.017206  0.023601  0.022817  0.021991  0.021006      -3.851       1.931
   251 -0.0116  0.023443  0.022425  0.021001  0.020241  0.019251  0.018071  0.017576  0.017204  0.023594  0.022810  0.021985  0.021000      -3.712       1.861
   252 -0.0106  0.023436  0.022418  0.020995  0.020236  0.019247  0.018068  0.017573  0.017201  0.023587  0.022802  0.021978  0.020994      -3.572       1.791
   253 -0.0096  0.023427  0.022410  0.020988  0.020229  0.019241  0.018063  0.017569  0.017197  0.023578  0.022794  0.021970  0.020987      -3.433       1.721
   254 -0.0086  0.023418  0.022401  0.020980  0.020222  0.019235  0.018058  0.017564  0.017193  0.023569  0.022785  0.021962  0.020979      -3.295       1.651
   255 -0.0076  0.023407  0.022390  0.020970  0.020213  0.019226  0.018050  0.017557  0.017185  0.023558  0.022774  0.021951  0.020969      -3.156       1.581
   256 -0.0066  0.023396  0.022380  0.020961  0.020204  0.019218  0.018043  0.017551  0.017179  0.023547  0.022763  0.021941  0.020960      -3.017       1.511
   257 -0.0056  0.023383  0.022367  0.020949  0.020193  0.019208  0.018034  0.017541  0.017170  0.023534  0.022750  0.021928  0.020948      -2.878       1.442
   258 -0.0046  0.023369  0.022354  0.020937  0.020182  0.019198  0.018024  0.017532  0.017162  0.023520  0.022736  0.021916  0.020936       -2.74       1.372
   259 -0.0036  0.023355  0.022340  0.020924  0.020169  0.019186  0.018013  0.017522  0.017152  0.023505  0.022722  0.021902  0.020923      -2.601       1.302
   260 -0.0026  0.023339  0.022324  0.020909  0.020155  0.019172  0.018001  0.017510  0.017140  0.023489  0.022706  0.021886  0.020909      -2.463       1.233
   261 -0.0016  0.023322  0.022309  0.020895  0.020141  0.019159  0.017989  0.017498  0.017128  0.023473  0.022690  0.021871  0.020894      -2.325       1.163
   262 -0.0006  0.023304  0.022291  0.020878  0.020126  0.019144  0.017974  0.017484  0.017115  0.023455  0.022673  0.021854  0.020878      -2.187       1.094
   263  0.0004  0.023286  0.022274  0.020862  0.020110  0.019129  0.017960  0.017470  0.017101  0.023436  0.022655  0.021837  0.020861      -2.049       1.024
   264  0.0014  0.023267  0.022255  0.020844  0.020093  0.019113  0.017945  0.017455  0.017086  0.023417  0.022636  0.021818  0.020843      -1.911       0.955
   265  0.0024  0.023246  0.022235  0.020825  0.020074  0.019095  0.017928  0.017438  0.017070  0.023396  0.022615  0.021799  0.020824      -1.773      0.8857
   266  0.0034  0.023225  0.022215  0.020807  0.020056  0.019078  0.017911  0.017423  0.017054  0.023375  0.022595  0.021779  0.020806      -1.636      0.8164
   267  0.0044  0.023202  0.022193  0.020786  0.020035  0.019058  0.017892  0.017404  0.017036  0.023352  0.022573  0.021758  0.020785      -1.498      0.7473
   268  0.0054  0.023179  0.022171  0.020765  0.020015  0.019038  0.017874  0.017385  0.017018  0.023329  0.022551  0.021736  0.020764      -1.361      0.6782
   269  0.0064  0.023155  0.022148  0.020743  0.019994  0.019018  0.017854  0.017366  0.016998  0.023305  0.022527  0.021713  0.020742      -1.224      0.6091
   270  0.0074  0.023129  0.022123  0.020719  0.019970  0.018995  0.017832  0.017344  0.016976  0.023279  0.022502  0.021689  0.020718      -1.087      0.5402
   271  0.0084  0.023104  0.022099  0.020696  0.019948  0.018973  0.017811  0.017323  0.016956  0.023253  0.022477  0.021665  0.020695     -0.9497      0.4713
   272  0.0094  0.023076  0.022072  0.020670  0.019922  0.018948  0.017787  0.017299  0.016932  0.023225  0.022450  0.021638  0.020669     -0.8129      0.4024
   273  0.0104  0.023048  0.022045  0.020644  0.019897  0.018924  0.017763  0.017276  0.016909  0.023197  0.022423  0.021612  0.020644     -0.6762      0.3336
   274  0.0114  0.023019  0.022018  0.020618  0.019871  0.018898  0.017738  0.017252  0.016885  0.023168  0.022395  0.021585  0.020617     -0.5397      0.2649
   275  0.0124  0.022989  0.021989  0.020590  0.019844  0.018871  0.017712  0.017226  0.016859  0.023137  0.022366  0.021556  0.020589     -0.4033      0.1963
   276  0.0134  0.022958  0.021959  0.020562  0.019816  0.018844  0.017686  0.017200  0.016834  0.023106  0.022337  0.021527  0.020561      -0.267      0.1278
   277  0.0144  0.022927  0.021929  0.020533  0.019787  0.018817  0.017659  0.017173  0.016807  0.023075  0.022306  0.021498  0.020532     -0.1309     0.05927
   278  0.0154  0.022895  0.021899  0.020503  0.019759  0.018788  0.017632  0.017146  0.016780  0.023043  0.022276  0.021468  0.020503    0.005033    -0.00914
   279  0.0164  0.022863  0.021868  0.020474  0.019730  0.018760  0.017605  0.017119  0.016754  0.023011  0.022245  0.021438  0.020473      0.1409    -0.07748
   280  0.0174  0.022832  0.021838  0.020445  0.019701  0.018733  0.017578  0.017093  0.016728  0.022979  0.022214  0.021407  0.020444      0.2765     -0.1457
   281  0.0184  0.022800  0.021807  0.020416  0.019673  0.018706  0.017552  0.017068  0.016703  0.022947  0.022183  0.021378  0.020416       0.412     -0.2139
   282  0.0194  0.022769  0.021778  0.020388  0.019646  0.018679  0.017527  0.017044  0.016679  0.022915  0.022153  0.021348  0.020387      0.5474      -0.282
   283  0.0204  0.022738  0.021748  0.020360  0.019619  0.018654  0.017504  0.017021  0.016656  0.022885  0.022123  0.021320  0.020360      0.6826     -0.3501
   284  0.0214  0.022708  0.021719  0.020334  0.019594  0.018630  0.017481  0.016999  0.016635  0.022855  0.022094  0.021291  0.020333      0.8176      -0.418
   285  0.0224  0.022678  0.021691  0.020307  0.019569  0.018606  0.017459  0.016978  0.016615  0.022825  0.022065  0.021264  0.020307      0.9525     -0.4859
   286  0.0234  0.022653  0.021666  0.020285  0.019548  0.018588  0.017443  0.016963  0.016601  0.022799  0.022039  0.021239  0.020285       1.087     -0.5537
   287  0.0244  0.022626  0.021640  0.020262  0.019527  0.018568  0.017426  0.016947  0.016586  0.022772  0.022012  0.021214  0.020261       1.222     -0.6214
   288  0.0254  0.022602  0.021618  0.020243  0.019510  0.018554  0.017415  0.016937  0.016577  0.022749  0.021989  0.021193  0.020242       1.356      -0.689
   289  0.0264  0.022577  0.021594  0.020222  0.019490  0.018537  0.017401  0.016925  0.016566  0.022723  0.021964  0.021169  0.020221        1.49     -0.7565
   290  0.0274  0.022544  0.021562  0.020193  0.019463  0.018511  0.017377  0.016901  0.016543  0.022690  0.021932  0.021138  0.020192       1.624      -0.824
   291  0.0284  0.022508  0.021527  0.020159  0.019430  0.018480  0.017347  0.016872  0.016514  0.022653  0.021896  0.021104  0.020158       1.758     -0.8914
   292  0.0294  0.022467  0.021488  0.020121  0.019393  0.018444  0.017312  0.016837  0.016480  0.022612  0.021857  0.021065  0.020121       1.892     -0.9586
   293  0.0304  0.022423  0.021447  0.020081  0.019353  0.018405  0.017274  0.016800  0.016442  0.022569  0.021815  0.021024  0.020081       2.025      -1.026
   294  0.0314  0.022379  0.021404  0.020040  0.019313  0.018365  0.017235  0.016761  0.016403  0.022524  0.021772  0.020983  0.020040       2.159      -1.093
   295  0.0324  0.022335  0.021362  0.019999  0.019272  0.018325  0.017196  0.016722  0.016365  0.022479  0.021730  0.020941  0.019999       2.292       -1.16
   296  0.0334  0.022290  0.021319  0.019958  0.019231  0.018285  0.017157  0.016683  0.016326  0.022434  0.021686  0.020899  0.019958       2.425      -1.227
   297  0.0344  0.022247  0.021278  0.019919  0.019193  0.018248  0.017121  0.016648  0.016291  0.022391  0.021645  0.020858  0.019919       2.558      -1.294
   298  0.0354  0.022204  0.021237  0.019879  0.019154  0.018210  0.017085  0.016612  0.016256  0.022348  0.021604  0.020818  0.019879        2.69       -1.36
   299  0.0364  0.022164  0.021198  0.019843  0.019119  0.018176  0.017053  0.016581  0.016225  0.022307  0.021564  0.020780  0.019842       2.823      -1.427
   300  0.0374  0.022124  0.021160  0.019807  0.019085  0.018144  0.017022  0.016551  0.016196  0.022267  0.021525  0.020742  0.019807       2.955      -1.494
   301  0.0384  0.022088  0.021125  0.019775  0.019054  0.018116  0.016997  0.016526  0.016172  0.022231  0.021490  0.020709  0.019775       3.087       -1.56
   302  0.0394  0.022055  0.021093  0.019747  0.019028  0.018092  0.016976  0.016507  0.016154  0.022197  0.021457  0.020678  0.019746       3.219      -1.626
   303  0.0404  0.022022  0.021062  0.019719  0.019002  0.018069  0.016956  0.016489  0.016137  0.022165  0.021425  0.020647  0.019718       3.351      -1.693
   304  0.0414  0.021990  0.021032  0.019692  0.018978  0.018047  0.016938  0.016472  0.016122  0.022133  0.021393  0.020618  0.019692       3.482      -1.759
   305  0.0424  0.021950  0.020993  0.019656  0.018943  0.018015  0.016908  0.016443  0.016093  0.022092  0.021354  0.020580  0.019656       3.613      -1.825
   306  0.0434  0.021904  0.020949  0.019614  0.018903  0.017975  0.016870  0.016406  0.016057  0.022046  0.021309  0.020536  0.019614       3.744      -1.891
   307  0.0444  0.021853  0.020901  0.019568  0.018857  0.017930  0.016826  0.016363  0.016014  0.021995  0.021261  0.020489  0.019567       3.875      -1.957
   308  0.0454  0.021802  0.020852  0.019521  0.018810  0.017885  0.016782  0.016319  0.015970  0.021944  0.021211  0.020441  0.019520       4.006      -2.023
   309  0.0464  0.021750  0.020802  0.019472  0.018763  0.017838  0.016737  0.016274  0.015925  0.021891  0.021161  0.020391  0.019472       4.136      -2.088
   310  0.0474  0.021697  0.020751  0.019424  0.018714  0.017791  0.016690  0.016228  0.015880  0.021838  0.021110  0.020342  0.019423       4.267      -2.154
   311  0.0484  0.021648  0.020704  0.019378  0.018670  0.017748  0.016649  0.016187  0.015839  0.021788  0.021062  0.020295  0.019378       4.397      -2.219
   312  0.0494  0.021598  0.020657  0.019333  0.018626  0.017706  0.016609  0.016147  0.015800  0.021738  0.021014  0.020248  0.019333       4.527      -2.285
   313  0.0504  0.021552  0.020612  0.019292  0.018586  0.017668  0.016573  0.016113  0.015766  0.021692  0.020969  0.020205  0.019292       4.656       -2.35
   314  0.0514  0.021509  0.020571  0.019253  0.018549  0.017633  0.016541  0.016082  0.015736  0.021648  0.020927  0.020164  0.019253       4.786      -2.415
   315  0.0524  0.021468  0.020532  0.019218  0.018516  0.017602  0.016513  0.016056  0.015711  0.021607  0.020887  0.020126  0.019218       4.915       -2.48
   316  0.0534  0.021431  0.020497  0.019187  0.018487  0.017577  0.016492  0.016036  0.015693  0.021571  0.020850  0.020092  0.019187       5.044      -2.545
   317  0.0544  0.021394  0.020461  0.019155  0.018458  0.017551  0.016469  0.016015  0.015674  0.021533  0.020813  0.020057  0.019155       5.173       -2.61
   318  0.0554  0.021344  0.020413  0.019111  0.018415  0.017510  0.016431  0.015978  0.015637  0.021483  0.020765  0.020011  0.019110       5.301      -2.675
   319  0.0564  0.021291  0.020362  0.019062  0.018367  0.017464  0.016386  0.015934  0.015593  0.021430  0.020714  0.019961  0.019061       5.429      -2.739
   320  0.0574  0.021233  0.020307  0.019009  0.018315  0.017412  0.016336  0.015884  0.015544  0.021372  0.020658  0.019907  0.019008       5.558      -2.804
   321  0.0584  0.021176  0.020253  0.018956  0.018263  0.017362  0.016287  0.015836  0.015496  0.021314  0.020603  0.019853  0.018956       5.685      -2.868
   322  0.0594  0.021118  0.020196  0.018902  0.018210  0.017310  0.016236  0.015785  0.015446  0.021255  0.020546  0.019797  0.018902       5.813      -2.932
   323  0.0604  0.021062  0.020143  0.018851  0.018161  0.017262  0.016191  0.015740  0.015401  0.021199  0.020493  0.019745  0.018851        5.94      -2.996
   324  0.0614  0.021010  0.020093  0.018804  0.018114  0.017218  0.016149  0.015699  0.015361  0.021146  0.020442  0.019696  0.018804       6.068       -3.06
   325  0.0624  0.020958  0.020043  0.018757  0.018069  0.017175  0.016108  0.015660  0.015323  0.021094  0.020391  0.019647  0.018757       6.195      -3.124
   326  0.0634  0.020905  0.019993  0.018710  0.018023  0.017130  0.016066  0.015619  0.015282  0.021041  0.020340  0.019597  0.018710       6.321      -3.188
   327  0.0644  0.020856  0.019946  0.018667  0.017982  0.017092  0.016031  0.015585  0.015249  0.020992  0.020293  0.019552  0.018667       6.448      -3.252
   328  0.0654  0.020815  0.019907  0.018631  0.017950  0.017063  0.016006  0.015562  0.015228  0.020951  0.020251  0.019514  0.018631       6.574      -3.315
   329  0.0664  0.020772  0.019866  0.018595  0.017916  0.017033  0.015980  0.015538  0.015205  0.020908  0.020209  0.019474  0.018595         6.7      -3.379
   330  0.0674  0.020718  0.019814  0.018547  0.017870  0.016988  0.015938  0.015497  0.015165  0.020854  0.020157  0.019423  0.018547       6.826      -3.442
   331  0.0684  0.020658  0.019757  0.018492  0.017815  0.016936  0.015887  0.015447  0.015116  0.020793  0.020099  0.019367  0.018492       6.951      -3.505
   332  0.0694  0.020597  0.019698  0.018435  0.017760  0.016882  0.015835  0.015395  0.015064  0.020731  0.020040  0.019309  0.018435       7.077      -3.569
   333  0.0704  0.020536  0.019640  0.018380  0.017706  0.016829  0.015784  0.015345  0.015015  0.020670  0.019981  0.019252  0.018380       7.202      -3.631
   334  0.0714  0.020473  0.019579  0.018321  0.017648  0.016773  0.015730  0.015291  0.014961  0.020606  0.019920  0.019192  0.018321       7.327      -3.694
   335  0.0724  0.020412  0.019521  0.018266  0.017594  0.016720  0.015679  0.015242  0.014912  0.020545  0.019861  0.019135  0.018266       7.451      -3.757
   336  0.0734  0.020354  0.019466  0.018213  0.017543  0.016671  0.015633  0.015196  0.014868  0.020487  0.019804  0.019080  0.018214       7.575       -3.82
   337  0.0744  0.020296  0.019410  0.018161  0.017492  0.016623  0.015587  0.015151  0.014823  0.020428  0.019748  0.019026  0.018161         7.7      -3.882
   338  0.0754  0.020243  0.019360  0.018114  0.017448  0.016581  0.015549  0.015114  0.014788  0.020376  0.019697  0.018977  0.018115       7.823      -3.944
   339  0.0764  0.020192  0.019310  0.018069  0.017405  0.016541  0.015512  0.015079  0.014754  0.020324  0.019646  0.018928  0.018069       7.947      -4.007
   340  0.0774  0.020145  0.019266  0.018029  0.017368  0.016508  0.015483  0.015052  0.014729  0.020277  0.019600  0.018885  0.018029        8.07      -4.069
   341  0.0784  0.020094  0.019217  0.017985  0.017326  0.016469  0.015448  0.015019  0.014696  0.020226  0.019550  0.018837  0.017985       8.193      -4.131
   342  0.0794  0.020033  0.019159  0.017930  0.017272  0.016418  0.015399  0.014971  0.014649  0.020165  0.019492  0.018780  0.017930       8.316      -4.193
   343  0.0804  0.019967  0.019095  0.017869  0.017212  0.016359  0.015343  0.014915  0.014594  0.020098  0.019427  0.018718  0.017869       8.439      -4.254
   344  0.0814  0.019901  0.019033  0.017809  0.017154  0.016302  0.015288  0.014861  0.014541  0.020032  0.019364  0.018656  0.017809       8.561      -4.316
   345  0.0824  0.019833  0.018967  0.017746  0.017092  0.016242  0.015229  0.014803  0.014482  0.019963  0.019298  0.018592  0.017746       8.683      -4.377
   346  0.0834  0.019769  0.018906  0.017688  0.017035  0.016187  0.015177  0.014752  0.014432  0.019899  0.019236  0.018532  0.017688       8.804      -4.439
   347  0.0844  0.019705  0.018844  0.017629  0.016978  0.016132  0.015124  0.014700  0.014381  0.019834  0.019174  0.018471  0.017630       8.926        -4.5
   348  0.0854  0.019642  0.018785  0.017573  0.016923  0.016080  0.015075  0.014651  0.014333  0.019771  0.019113  0.018413  0.017573       9.047      -4.561
   349  0.0864  0.019583  0.018728  0.017520  0.016872  0.016031  0.015029  0.014607  0.014291  0.019712  0.019055  0.018357  0.017520       9.168      -4.622
   350  0.0874  0.019528  0.018676  0.017472  0.016827  0.015989  0.014991  0.014571  0.014255  0.019657  0.019002  0.018306  0.017472       9.289      -4.683
   351  0.0884  0.019475  0.018624  0.017425  0.016783  0.015948  0.014954  0.014536  0.014222  0.019603  0.018949  0.018256  0.017425       9.409      -4.743
   352  0.0894  0.019421  0.018573  0.017379  0.016739  0.015908  0.014918  0.014502  0.014189  0.019549  0.018897  0.018206  0.017379       9.529      -4.804
   353  0.0904  0.019358  0.018513  0.017322  0.016684  0.015855  0.014868  0.014453  0.014141  0.019486  0.018835  0.018146  0.017322       9.649      -4.864
   354  0.0914  0.019294  0.018451  0.017264  0.016628  0.015801  0.014817  0.014403  0.014092  0.019421  0.018773  0.018086  0.017264       9.769      -4.924
   355  0.0924  0.019222  0.018383  0.017198  0.016563  0.015739  0.014757  0.014343  0.014033  0.019349  0.018704  0.018019  0.017199       9.888      -4.984
   356  0.0934  0.019153  0.018317  0.017135  0.016501  0.015679  0.014699  0.014286  0.013977  0.019279  0.018637  0.017954  0.017135       10.01      -5.044
   357  0.0944  0.019087  0.018253  0.017075  0.016443  0.015623  0.014646  0.014235  0.013926  0.019213  0.018572  0.017891  0.017075       10.13      -5.104
   358  0.0954  0.019019  0.018188  0.017013  0.016383  0.015565  0.014591  0.014181  0.013873  0.019145  0.018507  0.017828  0.017014       10.24      -5.164
   359  0.0964  0.018949  0.018122  0.016950  0.016321  0.015505  0.014533  0.014124  0.013816  0.019074  0.018439  0.017762  0.016950       10.36      -5.223
   360  0.0974  0.018881  0.018056  0.016888  0.016261  0.015447  0.014478  0.014069  0.013763  0.019006  0.018373  0.017698  0.016889       10.48      -5.283
   361  0.0984  0.018819  0.017997  0.016832  0.016207  0.015396  0.014431  0.014024  0.013718  0.018943  0.018313  0.017640  0.016833        10.6      -5.342
   362  0.0994  0.018763  0.017943  0.016783  0.016162  0.015354  0.014393  0.013988  0.013684  0.018887  0.018257  0.017587  0.016784       10.71      -5.401
   363  0.1004  0.018704  0.017887  0.016732  0.016113  0.015309  0.014352  0.013949  0.013647  0.018828  0.018200  0.017533  0.016733       10.83       -5.46
   364  0.1014  0.018639  0.017825  0.016674  0.016057  0.015256  0.014302  0.013901  0.013599  0.018763  0.018137  0.017472  0.016675       10.95      -5.519
   365  0.1024  0.018571  0.017760  0.016613  0.015998  0.015199  0.014248  0.013848  0.013548  0.018694  0.018071  0.017408  0.016613       11.06      -5.577
   366  0.1034  0.018501  0.017692  0.016549  0.015935  0.015139  0.014191  0.013792  0.013492  0.018623  0.018003  0.017342  0.016549       11.18      -5.636
   367  0.1044  0.018426  0.017621  0.016481  0.015868  0.015074  0.014128  0.013730  0.013431  0.018548  0.017931  0.017272  0.016481        11.3      -5.694
   368  0.1054  0.018351  0.017549  0.016411  0.015800  0.015008  0.014065  0.013667  0.013369  0.018472  0.017858  0.017201  0.016412       11.41      -5.753
   369  0.1064  0.018280  0.017481  0.016347  0.015738  0.014948  0.014008  0.013611  0.013314  0.018401  0.017789  0.017134  0.016348       11.53      -5.811
